template,r2_01,r2_02,r2_03,r2_04,r2_05,r2_06,r2_07,r2_08,r2_09,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,fake_01,fake_02,fake_03,fake_04,fake_05,fake_06,fake_07,fake_08,fake_09,fake_10,fake_11,fake_12,fake_13,fake_14,fake_15,r1_01
r2_14,0.031218972,0.021174100,0.043632048,0.031790789,0.049003560,0.050957993,0.060583125,0.050848071,0.053336980,0.021672679,0.023492889,0.027053687,0.031080584,0.000000000,0.025776284,0.031956255,0.024221176,0.028748065,0.037842312,0.037320749,0.034860543,0.048099626,0.038040337,0.032997514,0.024664575,0.029448776,0.024927291,0.026160427,0.021125134,0.042907015,0.039594080
r2_15,0.025626194,0.017240373,0.023252240,0.019774164,0.031962257,0.028873856,0.034070227,0.027058268,0.038311072,0.021861419,0.013445304,0.016580457,0.015469045,0.025776284,0.000000000,0.020517219,0.014130676,0.016998989,0.021930810,0.020655840,0.017299397,0.024743887,0.020245763,0.016077142,0.015513739,0.015204953,0.015954551,0.014743365,0.014345506,0.027426498,0.034757199
fake_01,0.017603658,0.019294086,0.019605147,0.018901175,0.017673007,0.022657675,0.021167214,0.017828860,0.026592015,0.022886368,0.015054469,0.011090151,0.013357147,0.031956255,0.020517219,0.000000000,0.012107588,0.012245269,0.011033443,0.008509558,0.014831624,0.021754930,0.012621069,0.012646638,0.010231538,0.015067856,0.012729715,0.011991823,0.014160946,0.015962691,0.033260746
fake_02,0.014176385,0.010924109,0.017524088,0.014105365,0.021580550,0.024521099,0.027256549,0.021366880,0.029605969,0.018712324,0.009059651,0.012259026,0.013542773,0.024221176,0.014130676,0.012107588,0.000000000,0.009882022,0.013086804,0.012706356,0.014760947,0.020054875,0.016836423,0.012790059,0.007546508,0.011010715,0.007346760,0.009880132,0.011534357,0.018441215,0.033103331
fake_03,0.014170699,0.014281867,0.011022966,0.013595415,0.021463592,0.022612079,0.026191811,0.019519549,0.025573892,0.021705978,0.011158709,0.008517253,0.011068202,0.028748065,0.016998989,0.012245269,0.009882022,0.000000000,0.013385960,0.012122550,0.014448568,0.020064102,0.014596090,0.011264603,0.009479234,0.008604945,0.011620746,0.009236582,0.015769663,0.018841509,0.037454352
fake_04,0.020106783,0.019049797,0.017710730,0.017552732,0.016793843,0.022945252,0.021126934,0.018478584,0.026841881,0.025574295,0.014531566,0.014535935,0.013356062,0.037842312,0.021930810,0.011033443,0.013086804,0.013385960,0.000000000,0.009955254,0.013080319,0.017768314,0.016544526,0.010155868,0.013239946,0.014409934,0.014257220,0.012820588,0.018602135,0.016326504,0.035663577
fake_05,0.016950232,0.019669783,0.015993329,0.020342422,0.015382318,0.019865921,0.018381309,0.013274412,0.023214295,0.026093768,0.013064123,0.012752116,0.013431633,0.037320749,0.020655840,0.008509558,0.012706356,0.012122550,0.009955254,0.000000000,0.012090340,0.015656670,0.009691634,0.011593402,0.013308730,0.013340304,0.013385496,0.012276888,0.016545280,0.013345805,0.037891205
fake_06,0.019445210,0.019252371,0.017443304,0.020962784,0.019675110,0.016715938,0.021322046,0.017558307,0.020253219,0.027266622,0.012250861,0.012299511,0.015191429,0.034860543,0.017299397,0.014831624,0.014760947,0.014448568,0.013080319,0.012090340,0.000000000,0.017357832,0.015878658,0.007787801,0.014689777,0.014974361,0.014364129,0.012924415,0.015263752,0.016263015,0.038573154
fake_07,0.026404883,0.028068839,0.025638274,0.030292063,0.019713125,0.019733736,0.019465626,0.018454070,0.025760253,0.029703296,0.022546528,0.018289457,0.022700166,0.048099626,0.024743887,0.021754930,0.020054875,0.020064102,0.017768314,0.015656670,0.017357832,0.000000000,0.015736979,0.016453927,0.022813993,0.023161709,0.021239137,0.022954696,0.025094405,0.013861588,0.039839477
fake_08,0.019890068,0.023497230,0.020266528,0.025031515,0.013422023,0.021731092,0.016774278,0.012950644,0.027417215,0.026791002,0.013332685,0.013339497,0.017728907,0.038040337,0.020245763,0.012621069,0.016836423,0.014596090,0.016544526,0.009691634,0.015878658,0.015736979,0.000000000,0.015841536,0.014613546,0.015853803,0.016757992,0.017141664,0.017606375,0.012917289,0.039840570
fake_09,0.018619649,0.017810560,0.016235565,0.017883971,0.019036913,0.016354583,0.021031607,0.016677319,0.020690471,0.024819426,0.013816210,0.009812063,0.012018766,0.032997514,0.016077142,0.012646638,0.012790059,0.011264603,0.010155868,0.011593402,0.007787801,0.016453927,0.015841536,0.000000000,0.012972398,0.014066432,0.012064788,0.013445784,0.012870583,0.016863460,0.035170387
fake_10,0.014138841,0.012801105,0.016271094,0.014221920,0.022347752,0.024921443,0.027104137,0.020926517,0.027614207,0.018470340,0.009085299,0.011749783,0.012113141,0.024664575,0.015513739,0.010231538,0.007546508,0.009479234,0.013239946,0.013308730,0.014689777,0.022813993,0.014613546,0.012972398,0.000000000,0.010046601,0.009814227,0.008564497,0.011072539,0.018559752,0.033126964
fake_11,0.017473517,0.013911079,0.012367155,0.015655856,0.022989129,0.027732161,0.028706962,0.019923999,0.031459344,0.023671257,0.007864486,0.014907799,0.015441746,0.029448776,0.015204953,0.015067856,0.011010715,0.008604945,0.014409934,0.013340304,0.014974361,0.023161709,0.015853803,0.014066432,0.010046601,0.000000000,0.012963416,0.010553231,0.016123676,0.020180388,0.041525499
fake_12,0.018218295,0.014150948,0.021513918,0.019210521,0.024002009,0.025553109,0.028095388,0.023178905,0.028249340,0.019175358,0.010776005,0.010877573,0.016767682,0.024927291,0.015954551,0.012729715,0.007346760,0.011620746,0.014257220,0.013385496,0.014364129,0.021239137,0.016757992,0.012064788,0.009814227,0.012963416,0.000000000,0.011407616,0.010386980,0.017589384,0.032930565
fake_13,0.017549572,0.014681890,0.018132267,0.014204970,0.024592929,0.026555195,0.028540398,0.022992391,0.028949033,0.021021549,0.008989732,0.011714324,0.011760913,0.026160427,0.014743365,0.011991823,0.009880132,0.009236582,0.012820588,0.012276888,0.012924415,0.022954696,0.017141664,0.013445784,0.008564497,0.010553231,0.011407616,0.000000000,0.014235702,0.019096825,0.035890098
fake_14,0.021026632,0.014865657,0.024050198,0.019652338,0.025353916,0.027167728,0.027924633,0.024881394,0.032412432,0.021451252,0.012182456,0.011497124,0.015413856,0.021125134,0.014345506,0.014160946,0.011534357,0.015769663,0.018602135,0.016545280,0.015263752,0.025094405,0.017606375,0.012870583,0.011072539,0.016123676,0.010386980,0.014235702,0.000000000,0.020645607,0.034621070
fake_15,0.023124595,0.026071736,0.028124887,0.031366688,0.015242036,0.024027305,0.016948165,0.019154557,0.029511945,0.032499508,0.018882339,0.015385992,0.023271140,0.042907015,0.027426498,0.015962691,0.018441215,0.018841509,0.016326504,0.013345805,0.016263015,0.013861588,0.012917289,0.016863460,0.018559752,0.020180388,0.017589384,0.019096825,0.020645607,0.000000000,0.040463158
r1_01,0.031816263,0.039408888,0.048504571,0.036411092,0.047620418,0.036517629,0.045669744,0.045372493,0.039273170,0.026353291,0.038365070,0.033760763,0.033499810,0.039594080,0.034757199,0.033260746,0.033103331,0.037454352,0.035663577,0.037891205,0.038573154,0.039839477,0.039840570,0.035170387,0.033126964,0.041525499,0.032930565,0.035890098,0.034621070,0.040463158,0.000000000
